album_release,track_name,danceability,energy,loudness,tempo,duration_ms,album
10/22/12,State Of Grace,0.588,0.825,-5.882,129.968,295187,Red
10/22/12,Red,0.602,0.896,-4.267,124.978,220827,Red
10/22/12,Treacherous,0.705,0.621,-8.086,109.993,240773,Red
10/22/12,I Knew You Were Trouble,0.622,0.469,-6.798,77.019,217973,Red
10/22/12,All Too Well,0.602,0.609,-7.803,93.06,327893,Red
10/22/12,22,0.658,0.729,-6.561,104.007,230133,Red
10/22/12,I Almost Do,0.567,0.481,-7.357,145.865,242573,Red
10/22/12,We Are Never Ever Getting Back Together,0.628,0.676,-5.911,85.984,191880,Red
10/22/12,Stay Stay Stay,0.729,0.748,-6.67,99.981,204827,Red
10/22/12,The Last Time,0.505,0.443,-7.039,94.069,298293,Red
10/22/12,Holy Ground,0.627,0.816,-6.698,157.043,201853,Red
10/22/12,Sad Beautiful Tragic,0.624,0.34,-12.411,129.987,283680,Red
10/22/12,The Lucky One,0.706,0.499,-7.675,117.937,240133,Red
10/22/12,Everything Has Changed,0.624,0.458,-6.755,80.017,243933,Red
10/22/12,Starlight,0.649,0.777,-5.804,126.018,217827,Red
10/22/12,Begin Again,0.53,0.526,-8.349,79.025,237613,Red
10/22/12,The Moment I Knew,0.62,0.506,-7.327,126.015,285560,Red
10/22/12,Come Back...Be Here,0.483,0.548,-6.291,79.926,222707,Red
10/22/12,Girl At Home,0.733,0.59,-5.86,125.048,220320,Red
10/22/12,Treacherous (Original Demo Recording),0.828,0.64,-8.248,109.993,239720,Red
10/22/12,Red (Original Demo Recording),0.678,0.902,-4.659,124.998,226280,Red
10/22/12,State Of Grace (Acoustic Version),0.626,0.118,-15.91,105.597,323080,Red
11/10/17,...Ready For It?,0.613,0.764,-6.509,160.015,208187,Reputation
11/10/17,End Game,0.649,0.589,-6.237,159.073,244827,Reputation
11/10/17,I Did Something Bad,0.696,0.602,-6.156,82.989,238253,Reputation
11/10/17,Don't Blame Me,0.615,0.534,-6.719,135.917,236413,Reputation
11/10/17,Delicate,0.75,0.404,-10.178,95.045,232253,Reputation
11/10/17,Look What You Made Me Do,0.766,0.709,-6.471,128.07,211853,Reputation
11/10/17,So It Goes...,0.574,0.61,-7.283,74.957,227907,Reputation
11/10/17,Gorgeous,0.8,0.535,-6.684,92.027,209680,Reputation
11/10/17,Getaway Car,0.562,0.689,-6.745,172.054,233627,Reputation
11/10/17,King Of My Heart,0.675,0.703,-7.902,110.01,214320,Reputation
11/10/17,Dancing With Our Hands Tied,0.624,0.691,-6.686,160.024,211507,Reputation
11/10/17,Dress,0.719,0.469,-8.792,120.085,230373,Reputation
11/10/17,This Is Why We Can't Have Nice Things,0.567,0.789,-5.986,163.96,207133,Reputation
11/10/17,Call It What You Want,0.598,0.504,-9.874,163.954,203507,Reputation
11/10/17,New Year's Day,0.661,0.151,-12.864,94.922,235467,Reputation
10/25/10,Mine,0.624,0.757,-2.94,121.07,230707,Speak Now
10/25/10,Sparks Fly,0.605,0.787,-3.002,114.987,260933,Speak Now
10/25/10,Back To December,0.529,0.67,-4.663,141.893,293027,Speak Now
10/25/10,Speak Now,0.709,0.599,-3.734,118.975,240760,Speak Now
10/25/10,Dear John,0.589,0.47,-5.32,119.386,403920,Speak Now
10/25/10,Mean,0.568,0.761,-3.987,163.974,237733,Speak Now
10/25/10,The Story Of Us,0.543,0.818,-3.611,139.898,265667,Speak Now
10/25/10,Never Grow Up,0.714,0.305,-8.837,124.91,290467,Speak Now
10/25/10,Enchanted,0.455,0.623,-3.878,163.893,352187,Speak Now
10/25/10,Better Than Revenge,0.516,0.917,-3.186,145.821,217160,Speak Now
10/25/10,Innocent,0.552,0.608,-5.29,134.05,302253,Speak Now
10/25/10,Haunted,0.436,0.95,-2.627,162.088,242080,Speak Now
10/25/10,Last Kiss,0.371,0.341,-9.475,89.038,367133,Speak Now
10/25/10,Long Live,0.418,0.68,-4.3,204.12,317453,Speak Now
10/25/10,Ours,0.608,0.569,-7.227,159.845,237920,Speak Now
10/25/10,If This Was A Movie,0.511,0.719,-3.457,147.852,234547,Speak Now
10/25/10,Superman,0.582,0.765,-3.648,131.982,275960,Speak Now
10/27/14,Welcome To New York,0.789,0.634,-4.762,116.992,212600,1989
10/27/14,Blank Space,0.76,0.703,-5.412,95.997,231827,1989
10/27/14,Style,0.588,0.791,-5.595,94.933,231000,1989
10/27/14,Out Of The Woods,0.553,0.841,-6.937,92.008,235800,1989
10/27/14,All You Had To Do Was Stay,0.605,0.725,-5.729,96.97,193293,1989
10/27/14,Shake It Off,0.647,0.8,-5.384,160.078,219200,1989
10/27/14,I Wish You Would,0.653,0.893,-5.966,118.035,207440,1989
10/27/14,Bad Blood,0.646,0.794,-6.104,170.216,211933,1989
10/27/14,Wildest Dreams,0.55,0.688,-7.416,139.997,220440,1989
10/27/14,How You Get The Girl,0.765,0.656,-6.112,119.997,247533,1989
10/27/14,This Love,0.481,0.435,-8.795,143.95,250093,1989
10/27/14,I Know Places,0.602,0.755,-4.991,159.965,195707,1989
10/27/14,Clean,0.815,0.377,-7.754,103.97,271000,1989
10/27/14,Wonderland,0.422,0.692,-5.447,184.014,245560,1989
10/27/14,You Are In Love,0.474,0.48,-8.894,170.109,267107,1989
10/27/14,New Romantics,0.633,0.889,-5.87,121.956,230467,1989